stage,context,score,n_samples,mean_score,sd_score,total_cells
Normal,epithelial,refined_inflammatory_macrophage,24,0.17159172103438394,0.049279556073385175,56242
Normal,epithelial,refined_spp1_macrophage,24,0.16263493940718188,0.02261690348675681,56242
Normal,epithelial,spp1_macrophage,24,0.4975939520248717,0.1161554244985912,56242
Normal,macrophage,c1q_macrophage,24,2.2562980547805997,0.42152109348935674,17551
Normal,macrophage,epithelial,24,0.46169769758462725,0.20429682862830284,17551
Normal,macrophage,epithelial_progenitor_like,24,0.10580611716876728,0.04831430208302883,17551
Normal,macrophage,inflammatory_macrophage,24,0.3740039271709106,0.12734426012966096,17551
Normal,macrophage,macrophage,24,1.9001128919736148,0.3347286746256586,17551
Normal,macrophage,refined_c1q_macrophage,24,0.7775401965834701,0.25145055975179426,17551
Normal,macrophage,refined_epithelial_progenitor_like,24,0.2004668916998671,0.04952448738489816,17551
Normal,macrophage,refined_inflammatory_macrophage,24,0.2528977871331296,0.06866884944452417,17551
Normal,macrophage,refined_spp1_macrophage,24,0.16790620479378715,0.055371778406334234,17551
Normal,macrophage,spp1_macrophage,24,1.0925655592502985,0.30905960016177314,17551
