contrast,gene,group_sum,background_sum,group_detected,background_detected,n_group,n_background,mean_group,mean_background,pct_group,pct_background,log2fc,delta_pct,marker_score
proliferating_epithelial_vs_other_epithelial,NUCKS1,11605,13959,2154,5023,2909,9937,3.9893434169817805,1.4047499245245043,0.7404606393949811,0.505484552681896,1.5058373329691888,0.23497608671308512,0.3538357637275689
proliferating_epithelial_vs_other_epithelial,UBE2C,2218,301,264,148,2909,9937,0.7624613269164662,0.03029083224313173,0.09075283602612581,0.014893831136157795,4.653665306823812,0.07585900488996802,0.3530224192666221
proliferating_epithelial_vs_other_epithelial,RANBP1,5113,5984,1643,3404,2909,9937,1.7576486765211412,0.6021938210727584,0.5647988999656239,0.3425581161316293,1.545345344468903,0.22224078383399465,0.34343876064898343
proliferating_epithelial_vs_other_epithelial,CARHSP1,5164,4576,1173,2268,2909,9937,1.7751804743898247,0.4605011572909329,0.40323135097971813,0.22823789876220188,1.9466866969451202,0.17499345221751625,0.3406574254843404
proliferating_epithelial_vs_other_epithelial,HMGB2,5511,4829,1365,2943,2909,9937,1.8944654520453763,0.48596155781422967,0.46923341354417325,0.296165844822381,1.962874525041244,0.17306756872179224,0.33970992175483083
proliferating_epithelial_vs_other_epithelial,HMGB3,4828,5177,1285,2381,2909,9937,1.6596768649020281,0.5209821877830331,0.44173255414231694,0.23960954010264668,1.6715945265662742,0.20212301403967026,0.337867723961791
proliferating_epithelial_vs_other_epithelial,TUBA1B,11346,12244,2120,5227,2909,9937,3.900309384668271,1.2321626245345678,0.7287727741491922,0.5260138874911945,1.662395086762889,0.20275888665799768,0.33706537697776884
proliferating_epithelial_vs_other_epithelial,H2AFY,5424,6707,1724,3617,2909,9937,1.8645582674458576,0.6749521988527725,0.5926435201100034,0.3639931568883969,1.4659752812821085,0.22865036322160653,0.3351957805390509
proliferating_epithelial_vs_other_epithelial,SIVA1,8812,10395,1990,4637,2909,9937,3.029219663114472,1.0460903693267585,0.6840838776211756,0.4666398309348898,1.5339378076751728,0.2174440466862858,0.3335456442659792
proliferating_epithelial_vs_other_epithelial,MYBL2,821,105,224,75,2909,9937,0.2822275696115504,0.010566569387138975,0.07700240632519766,0.007547549562242125,4.739148547057121,0.06945485676295553,0.3291568835142211
proliferating_epithelial_vs_other_epithelial,CENPX,5663,7285,1790,3812,2909,9937,1.9467170849089035,0.7331186474791185,0.6153317291165349,0.38361678575022645,1.4089233993308257,0.23171494336630843,0.326468605683409
proliferating_epithelial_vs_other_epithelial,ECI1,3402,4350,1491,2810,2909,9937,1.1694740460639395,0.4377578746100433,0.512547267102097,0.28278152359867165,1.4176527466145104,0.22976574350342532,0.325728037355556
proliferating_epithelial_vs_other_epithelial,RPL39L,2576,1218,530,676,2909,9937,0.8855276727397731,0.12257220489081212,0.18219319353729804,0.06802858005434236,2.852895387873382,0.11416461348295569,0.3256996992638716
proliferating_epithelial_vs_other_epithelial,JPT1,8334,9904,1790,4014,2909,9937,2.864902028188381,0.9966790781926135,0.6153317291165349,0.40394485257119855,1.5232839101527595,0.21138687654533633,0.3220022278589586
