gene,mean_expression,n_reference_samples
ACAT1,0.01031550029128373,5
ACAT2,0.004277495043642426,5
ACBD3,0.016755136920111498,5
ACBD4,0.0055039449267668804,5
ACBD5,0.007476517808858342,5
ACBD6,0.008222534051622429,5
ACBD7,0.0004296957142011572,5
ACCS,0.005086285742983094,5
ACCSL,0.00015208231674038565,5
ACD,0.0035205901632883578,5
ACE,0.011367580971578634,5
ACE2,0.00042931583059854246,5
ACER1,0.00011949727670288317,5
ACER3,0.003148915680336019,5
ACHE,0.0030496411078106676,5
ACIN1,0.008595082244171935,5
ACKR1,0.0036007952300773764,5
ACKR2,0.000628255653086524,5
ACKR3,0.001634008590348949,5
ACKR4,0.0005343704389310746,5
ACLY,0.007413526121912218,5
ACMSD,0.0001482481712037142,5
ACO1,0.004653194079078202,5
ACO2,0.015900243509738468,5
ACOD1,0.0001693198440841827,5
ACOT1,2.920522488347776e-05,5
ACOT11,0.0024085066424006105,5
ACOT12,0.00015282599656299948,5
ACOT13,0.007375187367216006,5
ACOT4,0.001207430399779534,5
ACOT6,0.00014445218465635804,5
ACOT7,0.003939158302398125,5
ACOT8,0.0030556542758179597,5
ACOT9,0.010674334333586057,5
ACOX1,0.023718331176590772,5
ACOX2,0.00177223988968428,5
ACOX3,0.005303191701824246,5
ACOXL,0.005359917684315393,5
ACP1,0.0023300982837772925,5
ACP2,0.006943256211295599,5
ACP4,0.00012957240651858306,5
ACP5,0.014071868436167909,5
ACP6,0.003812771308575414,5
ACP7,0.000200285275240645,5
ACPP,0.0016681288964740752,5
ACRV1,9.026465696071683e-05,5
ACSBG1,0.0004051708261040882,5
ACSBG2,0.00010150357244048617,5
ACSF2,0.012265559180357957,5
ACSF3,0.0058784797540353696,5
ACSL1,0.006686942747945378,5
ACSL3,0.009689771084442503,5
ACSL4,0.007284784456110716,5
ACSL5,0.012921182589493005,5
ACSL6,0.0002752143044481558,5
ACSM1,0.0004983665631109233,5
ACSM2A,7.910013146379205e-05,5
ACSM2B,0.00010239484859153433,5
ACSM3,0.002933397791084172,5
ACSM4,0.00017216827762300265,5
ACSM5,0.0005443198748708444,5
ACSM6,0.00017219643388166766,5
ACSS1,0.011526328978810788,5
ACSS2,0.008783454231048338,5
ACSS3,0.0034076221336316556,5
ACTA1,0.00015096467475743456,5
ACTA2,6.089475475975741,5
ACTB,0.09769563603139284,5
ACTBL2,0.00016064724932833246,5
ACTC1,0.00015271122829874968,5
ACTG1,0.05076312801428594,5
ACTG2,0.0026048863979218993,5
ACTL10,0.0005850144161919745,5
ACTL6A,0.004826637626815525,5
ACTL6B,0.0001752578768288014,5
ACTL7A,0.0001785523139746279,5
ACTL7B,0.00017533044448941475,5
ACTL8,0.00012418467301724385,5
ACTL9,0.00017347875249979942,5
ACTN1,0.02018924074801944,5
ACTN2,0.0010260305475163981,5
ACTN3,0.00012003705414018463,5
ACTN4,0.03693697234010636,5
ACTR10,0.011937935595827804,5
ACTR1A,0.009608111120319012,5
ACTR1B,0.012687810957087408,5
ACTR2,0.009185546485704871,5
ACTR3,0.01878279702642441,5
ACTR3B,0.0014252586494607655,5
ACTR5,0.0022956051512896336,5
ACTR6,0.001479469114516786,5
ACTR8,0.004802809567154355,5
ACTRT1,0.00012752447466732105,5
ACTRT2,0.00014649925827897424,5
ACTRT3,0.00045698224387809235,5
ACVR1,0.006164552959448618,5
ACVR1B,0.008532006341987228,5
ACVR1C,0.0006582037254810097,5
ACVR2A,0.0057403785131076674,5
ACVR2B,0.0028407671347230475,5
ACVRL1,0.0061237512720236625,5
ACY1,0.006075960592877472,5
ACY3,0.000872424493888251,5
ACYP1,0.001873787105142566,5
ACYP2,0.009130720559668407,5
ADA,0.0015335070425455282,5
ADA2,0.01310627779915714,5
ADAD1,0.00019037975989845296,5
ADAD2,0.00034127494030273224,5
ADAL,0.0021879891222021915,5
ADAM10,0.013379890743744242,5
ADAM11,0.00011864283716886276,5
ADAM12,0.0004272593632315075,5
ADAM15,0.013006779912591592,5
ADAM17,0.009434109417354626,5
ADAM18,4.229903081789287e-05,5
ADAM19,0.004092497206220275,5
ADAM2,7.00500742629717e-05,5
ADAM20,0.0006821252079418793,5
ADAM21,6.0582215446658666e-05,5
ADAM22,0.0009886945992848444,5
ADAM23,0.0005025157068284031,5
ADAM28,0.029322765628683252,5
ADAM29,0.0001221849502382942,5
ADAM30,0.00021901078225493518,5
ADAM32,0.0006643651711563461,5
ADAM33,0.003944977938977615,5
ADAM7,0.00015207769754496688,5
ADAM8,0.005973120520110358,5
ADAM9,0.014133631087629783,5
ADAMDEC1,0.0014793638897761482,5
ADAMTS1,0.011112036651132532,5
ADAMTS10,0.0025756452304423498,5
ADAMTS12,0.0027659638517850884,5
ADAMTS13,0.0016452098576953274,5
ADAMTS14,0.0005833613475291989,5
ADAMTS15,0.0015524335141425042,5
ADAMTS16,0.0006577737956302531,5
ADAMTS17,0.0018261512471233674,5
ADAMTS18,0.00024150640813899667,5
ADAMTS19,0.0001783698805849088,5
ADAMTS2,0.00275717088717263,5
ADAMTS20,0.00011734831391746364,5
ADAMTS3,0.00037978357883809466,5
ADAMTS4,0.0025271274434397503,5
ADAMTS5,0.000984465012770503,5
ADAMTS6,0.0015188884821548923,5
ADAMTS7,0.0013094043854229927,5
ADAMTS8,0.0031512476099613156,5
ADAMTS9,0.00746265490221139,5
ADAMTSL1,0.0012633926672039099,5
ADAMTSL2,0.005060747435216379,5
ADAMTSL3,0.003030462468970759,5
ADAMTSL4,0.005212699569248936,5
ADAMTSL5,0.0013182787116308567,5
ADAP1,0.0036752230480729398,5
ADAP2,0.004531475917779336,5
ADAR,0.04957298508613933,5
ADARB1,0.006520626977214049,5
ADARB2,0.0002904708356588539,5
ADAT1,0.006687958435829061,5
ADAT2,0.003498920841432001,5
ADAT3,0.00019529465022591203,5
ADCK2,0.003959813134606605,5
ADCK5,0.0030374694571744182,5
ADCY1,0.0007986839324345211,5
ADCY10,0.0002632010514947017,5
ADCY2,0.00041392480918809194,5
ADCY3,0.004653862671921339,5
ADCY4,0.003511567196021663,5
ADCY5,0.0016250566523649027,5
ADCY6,0.0045638908975679454,5
ADCY7,0.007115920255785638,5
ADCY8,0.0003039124704272764,5
