sample,sample_name,stage,context,gene,n_cells,mean_expression,detection_fraction,status
GSM9237905,P4_Normal1,Normal,epithelial,CXCR4,5544,0.2259347762608317,0.10137085137085138,present
GSM9237905,P4_Normal1,Normal,epithelial,SPP1,5544,0.0013421815192802486,0.0005411255411255411,present
GSM9237905,P4_Normal1,Normal,epithelial,TREM2,5544,0.027646575771289206,0.016414141414141416,present
GSM9237905,P4_Normal1,Normal,epithelial,PLA2G7,5544,0.00921703467804424,0.00468975468975469,present
GSM9237905,P4_Normal1,Normal,epithelial,IL1B,5544,0.020674384715279014,0.010101010101010102,present
GSM9237905,P4_Normal1,Normal,epithelial,TNF,5544,0.0411838827194249,0.021284271284271284,present
GSM9237905,P4_Normal1,Normal,epithelial,CXCL8,5544,0.022236275981280314,0.010822510822510822,present
GSM9237905,P4_Normal1,Normal,macrophage,MIF,1609,0.26323777951987015,0.23741454319453076,present
GSM9237905,P4_Normal1,Normal,macrophage,CD74,1609,5.094711065129707,0.9950279676817899,present
GSM9237905,P4_Normal1,Normal,macrophage,CD44,1609,1.8998476846070373,0.7240522063393412,present
GSM9237905,P4_Normal1,Normal,macrophage,CXCR4,1609,0.48549050397879306,0.2728402734617775,present
GSM9237905,P4_Normal1,Normal,macrophage,SPP1,1609,0.008134489511203765,0.004972032318210068,present
GSM9237905,P4_Normal1,Normal,macrophage,TREM2,1609,0.5621984193239572,0.3523927905531386,present
GSM9237905,P4_Normal1,Normal,macrophage,PLA2G7,1609,0.14024008507280392,0.07893101305158484,present
GSM9237905,P4_Normal1,Normal,macrophage,IL1B,1609,0.1824493393051021,0.12865133623368552,present
GSM9237905,P4_Normal1,Normal,macrophage,TNF,1609,0.09819217774056296,0.08949658172778123,present
GSM9237905,P4_Normal1,Normal,macrophage,CXCL8,1609,0.15335785773033508,0.09384711000621504,present
GSM9237906,P4_AAH,AAH,all_cells,MIF,5613,0.3288549999722829,0.22234099412079103,present
GSM9237906,P4_AAH,AAH,all_cells,CD74,5613,3.3816028489967316,0.9025476572243007,present
GSM9237906,P4_AAH,AAH,all_cells,CD44,5613,1.507393411768313,0.6044895777659006,present
GSM9237906,P4_AAH,AAH,all_cells,CXCR4,5613,0.4497106168979049,0.2136112595759843,present
GSM9237906,P4_AAH,AAH,all_cells,SPP1,5613,0.00589836113409642,0.004810261892036344,present
GSM9237906,P4_AAH,AAH,all_cells,TREM2,5613,0.14245557873355558,0.08551576696953501,present
