observed_fraction,null_mean,null_sd,enrichment_delta,empirical_p_greater,empirical_p_less,n_permutations,radius,status,sample,sample_name,stage,source,target,quantile,radius_multiplier,n_spots,n_source_high,n_target_high,n_overlap_high,overlap_fraction_of_source,target_to_source_fraction,axis_id,axis_label,evidence_type,gene_panel,genes
0.595116988809766,0.4219192946761614,0.011196005562591742,0.17319769413360464,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226192,P11_LUAD,LUAD,epithelial_progenitor_like,mif_cd74_cxcr4_source,0.75,1.0,11794,2949,2502,1215,0.41200406917599186,0.5795363709032774,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF
0.5300101729399797,0.4816615801966768,0.012449107405186084,0.04834859274330283,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226192,P11_LUAD,LUAD,epithelial_progenitor_like,mif_cd74_cxcr4_target,0.75,1.0,11794,2949,2949,1351,0.4581213970837572,0.5418786029162428,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44"
0.5286537809426924,0.48320447609359113,0.01067942070729794,0.04544930484910131,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226192,P11_LUAD,LUAD,epithelial_progenitor_like,cxcl9_cxcl10_cxcr3_source,0.75,1.0,11794,2949,2949,1241,0.4208206171583588,0.5062733129874534,cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,source_near_epithelial_progenitor,source,"CXCL9,CXCL10"
0.2987453374025093,0.26482536453034927,0.008969159078708806,0.03391997287216003,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226192,P11_LUAD,LUAD,epithelial_progenitor_like,cxcl9_cxcl10_cxcr3_target,0.75,1.0,11794,2949,1472,450,0.1525940996948118,0.3845108695652174,cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,target_near_epithelial_progenitor,target,CXCR3
0.638236240746701,0.435619568715803,0.00885713641062456,0.20261667203089806,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226193,P12_AIS,AIS,epithelial_progenitor_like,spp1_trem2_macrophage_epithelial_source,0.75,1.0,12427,3107,3107,1555,0.5004827808175089,0.6089475378178307,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3"
0.7267460572899903,0.4362825877051818,0.008782394220568595,0.2904634695848085,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226193,P12_AIS,AIS,epithelial_progenitor_like,spp1_trem2_macrophage_epithelial_target,0.75,1.0,12427,3107,3107,1865,0.6002574831026714,0.6942388155777277,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,target_near_epithelial_progenitor,target,"CD44,ITGAV,ITGB1,ITGA5"
0.5580946250402318,0.43447698744769875,0.011391446861129894,0.12361763759253303,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226193,P12_AIS,AIS,epithelial_progenitor_like,inflammatory_il1_tnf_cxcl8_source,0.75,1.0,12427,3107,3107,1187,0.38204055358867073,0.4750563244287094,inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,source_near_epithelial_progenitor,source,"IL1B,TNF,CXCL8,CCL3,CCL4,NLRP3"
0.702928870292887,0.4338815577727712,0.01085521239101506,0.26904731252011577,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226193,P12_AIS,AIS,epithelial_progenitor_like,inflammatory_il1_tnf_cxcl8_target,0.75,1.0,12427,3107,3107,1719,0.5532668168651432,0.6417766334084326,inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,target_near_epithelial_progenitor,target,"IL1R1,IL1RAP,NFKBIA"
0.5558416478918571,0.43437399420663014,0.01023910524445079,0.12146765368522694,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226193,P12_AIS,AIS,epithelial_progenitor_like,c1q_apoe_trem2_lgals3_source,0.75,1.0,12427,3107,3107,1327,0.4271000965561635,0.5400708078532346,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,source,"C1QA,C1QB,C1QC,APOE,TREM2,LGALS3,MARCO"
0.6842613453492115,0.43579015127132287,0.00847246021261236,0.2484711940778886,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226193,P12_AIS,AIS,epithelial_progenitor_like,c1q_apoe_trem2_lgals3_target,0.75,1.0,12427,3107,3107,1684,0.54200193112327,0.643707756678468,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,target,"LRP1,TREM2,CD44"
