sample,sample_name,stage,axis_id,axis_label,evidence_type,gene_panel,panel_genes,perturbation_id,perturbation_type,perturbed_genes,perturbation_factor,present_perturbed_genes,missing_perturbed_genes,baseline_panel_mean,perturbed_panel_mean,panel_mean_delta,baseline_observed_fraction,perturbed_observed_fraction,observed_fraction_delta,baseline_n_target_high,perturbed_n_target_high,baseline_status,perturbed_status
GSM9226201,P16_AIS,AIS,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CD44_x0,gene,CD44,0.0,CD44,,0.06341674626059078,0.05464182782387772,-0.008774918436713061,0.535077288941736,0.5326991676575505,-0.0023781212841854638,3364,3364,ok,ok
GSM9226201,P16_AIS,AIS,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CD44_x0p5,gene,CD44,0.5,CD44,,0.06341674626059078,0.05902928704223426,-0.004387459218356524,0.535077288941736,0.5347800237812128,-0.00029726516052319685,3364,3364,ok,ok
GSM9226201,P16_AIS,AIS,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF,mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,axis,"MIF,CD74,CXCR4,CD44",0.0,"MIF,CD74,CXCR4,CD44",,0.0011631123408158781,0.0,-0.0011631123408158781,0.2208680142687277,0.0,-0.2208680142687277,966,0,ok,insufficient_target_high
GSM9226201,P16_AIS,AIS,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,axis,"MIF,CD74,CXCR4,CD44",0.0,"MIF,CD74,CXCR4,CD44",,0.06341674626059078,0.0,-0.06341674626059078,0.535077288941736,0.0,-0.535077288941736,3364,0,ok,insufficient_target_high
GSM9226201,P16_AIS,AIS,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF,mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,axis,"MIF,CD74,CXCR4,CD44",0.5,"MIF,CD74,CXCR4,CD44",,0.0011631123408158781,0.0005815561704079391,-0.0005815561704079391,0.2208680142687277,0.2208680142687277,0.0,966,966,ok,ok
GSM9226201,P16_AIS,AIS,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,axis,"MIF,CD74,CXCR4,CD44",0.5,"MIF,CD74,CXCR4,CD44",,0.06341674626059078,0.03170837313029539,-0.03170837313029539,0.535077288941736,0.535077288941736,0.0,3364,3364,ok,ok
GSM9226202,P16_LUAD,LUAD,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_gene_SPP1_x0,gene,SPP1,0.0,SPP1,,0.052118260703973636,0.041683260561040845,-0.01043500014293279,0.6297828335056876,0.6452947259565667,0.015511892450879028,1934,1934,ok,ok
GSM9226202,P16_LUAD,LUAD,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_gene_SPP1_x0p5,gene,SPP1,0.5,SPP1,,0.052118260703973636,0.046900760632507234,-0.005217500071466402,0.6297828335056876,0.6370217166494312,0.007238883143743546,1934,1934,ok,ok
GSM9226202,P16_LUAD,LUAD,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_gene_TREM2_x0,gene,TREM2,0.0,TREM2,,0.052118260703973636,0.05099595094489232,-0.0011223097590813136,0.6297828335056876,0.6349534643226473,0.005170630816959676,1934,1934,ok,ok
GSM9226202,P16_LUAD,LUAD,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_gene_TREM2_x0p5,gene,TREM2,0.5,TREM2,,0.052118260703973636,0.05155710582443298,-0.0005611548795406568,0.6297828335056876,0.6287487073422957,-0.0010341261633919352,1934,1934,ok,ok
GSM9226202,P16_LUAD,LUAD,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0,gene,PLA2G7,0.0,PLA2G7,,0.052118260703973636,0.05146610292681325,-0.0006521577771603851,0.6297828335056876,0.6349534643226473,0.005170630816959676,1934,1934,ok,ok
GSM9226202,P16_LUAD,LUAD,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0p5,gene,PLA2G7,0.5,PLA2G7,,0.052118260703973636,0.05179218181539345,-0.0003260788885801891,0.6297828335056876,0.6308169596690796,0.0010341261633919352,1934,1934,ok,ok
GSM9226202,P16_LUAD,LUAD,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0,axis,"SPP1,TREM2,PLA2G7",0.0,"SPP1,TREM2,PLA2G7",,0.052118260703973636,0.039908793024799126,-0.01220946767917451,0.6297828335056876,0.6432264736297828,0.013443640124095158,1934,1934,ok,ok
GSM9226202,P16_LUAD,LUAD,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0p5,axis,"SPP1,TREM2,PLA2G7",0.5,"SPP1,TREM2,PLA2G7",,0.052118260703973636,0.04601352686438639,-0.006104733839587248,0.6297828335056876,0.6390899689762151,0.009307135470527417,1934,1934,ok,ok
GSM9226202,P16_LUAD,LUAD,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,source,"C1QA,C1QB,C1QC,APOE,TREM2,LGALS3,MARCO",c1q_apoe_trem2_lgals3_gene_TREM2_x0,gene,TREM2,0.0,TREM2,,0.04822208474674738,0.0472601049532491,-0.0009619797934982757,0.5734229576008273,0.578076525336091,0.004653567735263708,1934,1934,ok,ok
GSM9226202,P16_LUAD,LUAD,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,target,"LRP1,TREM2,CD44",c1q_apoe_trem2_lgals3_gene_TREM2_x0,gene,TREM2,0.0,TREM2,,0.02690966793940946,0.024665048421246817,-0.0022446195181626445,0.5568769389865563,0.562564632885212,0.0056876938986556436,1934,1934,ok,ok
GSM9226202,P16_LUAD,LUAD,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,source,"C1QA,C1QB,C1QC,APOE,TREM2,LGALS3,MARCO",c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,gene,TREM2,0.5,TREM2,,0.04822208474674738,0.047741094849998236,-0.00048098989674914133,0.5734229576008273,0.5739400206825233,0.0005170630816959676,1934,1934,ok,ok
