observed_fraction,null_mean,null_sd,enrichment_delta,empirical_p_greater,empirical_p_less,n_permutations,radius,n_spots,n_source_high,n_target_high,n_overlap_high,overlap_fraction_of_source,target_to_source_fraction,sample,sample_name,stage,top_n,quantile,radius_multiplier
0.40789473684210525,0.4360526315789474,0.03541775926868411,-0.02815789473684216,0.7810945273631841,0.25870646766169153,200,200.0,1140,228,228,47,0.20614035087719298,0.39035087719298245,GSM5702475,GSM5702475_TD3,MIA,20,0.8,1.0
0.7017543859649122,0.757609649122807,0.03452526106634904,-0.0558552631578948,0.9502487562189055,0.06467661691542288,200,250.0,1140,228,228,47,0.20614035087719298,0.6447368421052632,GSM5702475,GSM5702475_TD3,MIA,20,0.8,1.25
0.41812865497076024,0.30111111111111116,0.02106258805054706,0.11701754385964908,0.004975124378109453,1.0,200,150.0,1140,342,342,143,0.41812865497076024,0.41812865497076024,GSM5702475,GSM5702475_TD3,MIA,30,0.7,0.75
0.7105263157894737,0.5956140350877193,0.02553778589106164,0.11491228070175441,0.004975124378109453,1.0,200,200.0,1140,342,342,143,0.41812865497076024,0.6637426900584795,GSM5702475,GSM5702475_TD3,MIA,30,0.7,1.0
0.9298245614035088,0.8996198830409357,0.021034318148684762,0.030204678362573123,0.06965174129353234,0.945273631840796,200,250.0,1140,342,342,143,0.41812865497076024,0.8625730994152047,GSM5702475,GSM5702475_TD3,MIA,30,0.7,1.25
0.3649122807017544,0.24814035087719297,0.023641571225169376,0.11677192982456144,0.004975124378109453,1.0,200,150.0,1140,285,285,104,0.3649122807017544,0.3649122807017544,GSM5702475,GSM5702475_TD3,MIA,30,0.75,0.75
0.5964912280701754,0.5230350877192983,0.031428870416228716,0.07345614035087711,0.014925373134328358,0.9900497512437811,200,200.0,1140,285,285,104,0.3649122807017544,0.6070175438596491,GSM5702475,GSM5702475_TD3,MIA,30,0.75,1.0
0.8736842105263158,0.8417017543859648,0.025088924534980836,0.031982456140351,0.13432835820895522,0.8955223880597015,200,250.0,1140,285,285,104,0.3649122807017544,0.8105263157894737,GSM5702475,GSM5702475_TD3,MIA,30,0.75,1.25
0.3201754385964912,0.19826754385964912,0.024893604480961156,0.1219078947368421,0.004975124378109453,1.0,200,150.0,1140,228,228,73,0.3201754385964912,0.3201754385964912,GSM5702475,GSM5702475_TD3,MIA,30,0.8,0.75
0.5087719298245614,0.4327192982456141,0.034122422306461016,0.07605263157894732,0.01990049751243781,0.9850746268656716,200,200.0,1140,228,228,73,0.3201754385964912,0.5175438596491229,GSM5702475,GSM5702475_TD3,MIA,30,0.8,1.0
0.8377192982456141,0.7599780701754386,0.03507652531260962,0.07774122807017547,0.01990049751243781,0.9850746268656716,200,250.0,1140,228,228,73,0.3201754385964912,0.7587719298245614,GSM5702475,GSM5702475_TD3,MIA,30,0.8,1.25
0.1411764705882353,0.2989313725490196,0.015808712107799928,-0.1577549019607843,1.0,0.004975124378109453,200,150.0018749882814,1700,510,510,72,0.1411764705882353,0.1411764705882353,GSM5702476,GSM5702476_TD5,AIS,10,0.7,0.75
0.3568627450980392,0.640421568627451,0.02237424286608709,-0.2835588235294118,1.0,0.004975124378109453,200,200.0024999843752,1700,510,510,72,0.1411764705882353,0.34705882352941175,GSM5702476,GSM5702476_TD5,AIS,10,0.7,1.0
0.6039215686274509,0.8944705882352944,0.016054838509404555,-0.2905490196078434,1.0,0.004975124378109453,200,250.00312498046898,1700,510,510,72,0.1411764705882353,0.4823529411764706,GSM5702476,GSM5702476_TD5,AIS,10,0.7,1.25
0.08941176470588236,0.24883529411764704,0.017734531459633985,-0.1594235294117647,1.0,0.004975124378109453,200,150.0018749882814,1700,425,425,38,0.08941176470588236,0.08941176470588236,GSM5702476,GSM5702476_TD5,AIS,10,0.75,0.75
0.25176470588235295,0.5654470588235294,0.024923052104326805,-0.31368235294117647,1.0,0.004975124378109453,200,200.0024999843752,1700,425,425,38,0.08941176470588236,0.2564705882352941,GSM5702476,GSM5702476_TD5,AIS,10,0.75,1.0
0.43058823529411766,0.8435176470588235,0.023437001506003828,-0.4129294117647058,1.0,0.004975124378109453,200,250.00312498046898,1700,425,425,38,0.08941176470588236,0.3835294117647059,GSM5702476,GSM5702476_TD5,AIS,10,0.75,1.25
0.052941176470588235,0.20025,0.02049571182457224,-0.14730882352941177,1.0,0.004975124378109453,200,150.0018749882814,1700,340,340,18,0.052941176470588235,0.052941176470588235,GSM5702476,GSM5702476_TD5,AIS,10,0.8,0.75
0.16176470588235295,0.47769117647058823,0.030951813696248404,-0.3159264705882353,1.0,0.004975124378109453,200,200.0024999843752,1700,340,340,18,0.052941176470588235,0.18823529411764706,GSM5702476,GSM5702476_TD5,AIS,10,0.8,1.0
0.27058823529411763,0.7684705882352941,0.02907606229204255,-0.4978823529411765,1.0,0.004975124378109453,200,250.00312498046898,1700,340,340,18,0.052941176470588235,0.2911764705882353,GSM5702476,GSM5702476_TD5,AIS,10,0.8,1.25
0.11764705882352941,0.3001470588235293,0.017439399053861153,-0.1824999999999999,1.0,0.004975124378109453,200,150.0018749882814,1700,510,510,60,0.11764705882352941,0.11764705882352941,GSM5702476,GSM5702476_TD5,AIS,20,0.7,0.75
0.3176470588235294,0.6386862745098039,0.023117481626639843,-0.32103921568627447,1.0,0.004975124378109453,200,200.0024999843752,1700,510,510,60,0.11764705882352941,0.3176470588235294,GSM5702476,GSM5702476_TD5,AIS,20,0.7,1.0
0.49411764705882355,0.8993529411764709,0.017918247774024974,-0.40523529411764736,1.0,0.004975124378109453,200,250.00312498046898,1700,510,510,60,0.11764705882352941,0.4568627450980392,GSM5702476,GSM5702476_TD5,AIS,20,0.7,1.25
0.06588235294117648,0.24938823529411763,0.018823514631977643,-0.18350588235294116,1.0,0.004975124378109453,200,150.0018749882814,1700,425,425,28,0.06588235294117648,0.06588235294117648,GSM5702476,GSM5702476_TD5,AIS,20,0.75,0.75
0.20941176470588235,0.5633058823529411,0.02337650285529461,-0.35389411764705875,1.0,0.004975124378109453,200,200.0024999843752,1700,425,425,28,0.06588235294117648,0.2376470588235294,GSM5702476,GSM5702476_TD5,AIS,20,0.75,1.0
0.32,0.8439647058823531,0.022410992342324586,-0.5239647058823531,1.0,0.004975124378109453,200,250.00312498046898,1700,425,425,28,0.06588235294117648,0.36,GSM5702476,GSM5702476_TD5,AIS,20,0.75,1.25
0.029411764705882353,0.19982352941176473,0.021016904660567003,-0.17041176470588237,1.0,0.004975124378109453,200,150.0018749882814,1700,340,340,10,0.029411764705882353,0.029411764705882353,GSM5702476,GSM5702476_TD5,AIS,20,0.8,0.75
