observed_fraction,null_mean,null_sd,enrichment_delta,empirical_p_greater,empirical_p_less,n_permutations,radius,status,sample,sample_name,stage,source,target,quantile,radius_multiplier,n_spots,n_source_high,n_target_high,n_overlap_high,overlap_fraction_of_source,target_to_source_fraction
0.3442340791738382,0.37887693631669533,0.00945051897017303,-0.03464285714285714,1.0,0.009900990099009901,100,382.37416230702615,ok,GSM9226222,P25_AAH,AAH,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,9294,2324,2324,626,0.2693631669535284,0.346815834767642
0.41222030981067126,0.38074870912220304,0.01005542721714011,0.031471600688468215,0.009900990099009901,1.0,100,382.37416230702615,ok,GSM9226222,P25_AAH,AAH,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,9294,2324,2324,727,0.31282271944922546,0.3876936316695353
0.3717728055077453,0.3788166953528399,0.010260280680676966,-0.007043889845094631,0.7722772277227723,0.27722772277227725,100,382.37416230702615,ok,GSM9226222,P25_AAH,AAH,epithelial_progenitor_like,resident_macrophage,0.75,1.0,9294,2324,2324,628,0.270223752151463,0.3459552495697074
0.4704641350210971,0.35587552742616035,0.015270559988343707,0.11458860759493672,0.009900990099009901,1.0,100,382.0052355662158,ok,GSM9226223,P25_LUAD,LUAD,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,3791,948,948,364,0.38396624472573837,0.4651898734177215
0.4630801687763713,0.3595569620253164,0.01672042182018758,0.10352320675105492,0.009900990099009901,1.0,100,382.0052355662158,ok,GSM9226223,P25_LUAD,LUAD,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,3791,948,948,355,0.3744725738396624,0.4609704641350211
0.39029535864978904,0.36063291139240505,0.01519206346948693,0.029662447257383984,0.04950495049504951,0.9801980198019802,100,382.0052355662158,ok,GSM9226223,P25_LUAD,LUAD,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,3791,948,948,282,0.2974683544303797,0.37130801687763715
0.4208860759493671,0.35515822784810125,0.017512778886100804,0.06572784810126586,0.009900990099009901,1.0,100,382.0052355662158,ok,GSM9226223,P25_LUAD,LUAD,epithelial_progenitor_like,resident_macrophage,0.75,1.0,3791,948,948,299,0.3154008438818565,0.3829113924050633
0.36863543788187375,0.43804820095044117,0.008949083561318781,-0.06941276306856742,1.0,0.009900990099009901,100,395.5477215204254,ok,GSM9226170,P2_AAH,AAH,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,11782,2946,2946,603,0.20468431771894094,0.36014935505770534
0.3054989816700611,0.4374915139171758,0.009062920713937665,-0.13199253224711466,1.0,0.009900990099009901,100,395.5477215204254,ok,GSM9226170,P2_AAH,AAH,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,11782,2946,2946,483,0.16395112016293278,0.3224711473183978
0.39341479972844534,0.4356754921928037,0.009380476916157458,-0.042260692464358374,1.0,0.009900990099009901,100,395.5477215204254,ok,GSM9226170,P2_AAH,AAH,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,11782,2946,2946,704,0.23896809232858113,0.3998642226748133
0.3591310251188052,0.4360794297352342,0.008735351007706879,-0.07694840461642904,1.0,0.009900990099009901,100,395.5477215204254,ok,GSM9226170,P2_AAH,AAH,epithelial_progenitor_like,resident_macrophage,0.75,1.0,11782,2946,2945,553,0.1877121520706042,0.34261460101867575
0.37431793379410694,0.6163514005092761,0.010155738539313914,-0.24203346671516912,1.0,0.009900990099009901,100,397.4128835354989,ok,GSM9226171,P2_LUAD,LUAD,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,10995,2749,2749,415,0.15096398690432886,0.3437613677700982
