sample,sample_name,stage,context,score,n_cells,mean_score
GSM9237905,P4_Normal1,Normal,macrophage,epithelial_progenitor_like,1609,0.16974190509494386
GSM9237905,P4_Normal1,Normal,macrophage,spp1_macrophage,1609,1.3574123193774277
GSM9237905,P4_Normal1,Normal,macrophage,c1q_macrophage,1609,2.794599342202368
GSM9237905,P4_Normal1,Normal,macrophage,inflammatory_macrophage,1609,0.3197631089025189
GSM9237905,P4_Normal1,Normal,macrophage,refined_epithelial_progenitor_like,1609,0.22650750961547653
GSM9237905,P4_Normal1,Normal,macrophage,refined_spp1_macrophage,1609,0.1449525723994166
GSM9237905,P4_Normal1,Normal,macrophage,refined_c1q_macrophage,1609,0.9695656830569852
GSM9237905,P4_Normal1,Normal,macrophage,refined_inflammatory_macrophage,1609,0.21287422763432146
GSM9237906,P4_AAH,AAH,all_cells,epithelial,5613,1.1192564148205
GSM9237906,P4_AAH,AAH,all_cells,macrophage,5613,0.6232990587413321
GSM9237906,P4_AAH,AAH,all_cells,epithelial_progenitor_like,5613,0.4600171958878965
GSM9237906,P4_AAH,AAH,all_cells,spp1_macrophage,5613,0.6599368244543081
GSM9237906,P4_AAH,AAH,all_cells,c1q_macrophage,5613,0.7593438758668234
GSM9237906,P4_AAH,AAH,all_cells,inflammatory_macrophage,5613,0.190543014479691
GSM9237906,P4_AAH,AAH,all_cells,refined_epithelial_progenitor_like,5613,0.36109366309395896
GSM9237906,P4_AAH,AAH,all_cells,refined_spp1_macrophage,5613,0.1482211960791558
GSM9237906,P4_AAH,AAH,all_cells,refined_c1q_macrophage,5613,0.35118772178832114
GSM9237906,P4_AAH,AAH,all_cells,refined_inflammatory_macrophage,5613,0.1629854210147568
GSM9237906,P4_AAH,AAH,epithelial,epithelial,1712,2.016256315179443
GSM9237906,P4_AAH,AAH,epithelial,macrophage,1712,0.33041158477554716
GSM9237906,P4_AAH,AAH,epithelial,epithelial_progenitor_like,1712,1.1243407302120167
GSM9237906,P4_AAH,AAH,epithelial,spp1_macrophage,1712,0.693355443640563
GSM9237906,P4_AAH,AAH,epithelial,c1q_macrophage,1712,0.3880143532200709
GSM9237906,P4_AAH,AAH,epithelial,inflammatory_macrophage,1712,0.19795129368074724
GSM9237906,P4_AAH,AAH,epithelial,refined_epithelial_progenitor_like,1712,0.6715170910314665
GSM9237906,P4_AAH,AAH,epithelial,refined_spp1_macrophage,1712,0.19321035318635335
GSM9237906,P4_AAH,AAH,epithelial,refined_c1q_macrophage,1712,0.3361582583731933
GSM9237906,P4_AAH,AAH,epithelial,refined_inflammatory_macrophage,1712,0.14342237683730816
GSM9237906,P4_AAH,AAH,macrophage,epithelial,833,0.70389498560532
GSM9237906,P4_AAH,AAH,macrophage,macrophage,833,2.237720310406192
GSM9237906,P4_AAH,AAH,macrophage,epithelial_progenitor_like,833,0.13849928595742883
GSM9237906,P4_AAH,AAH,macrophage,spp1_macrophage,833,1.3980619773244036
GSM9237906,P4_AAH,AAH,macrophage,c1q_macrophage,833,2.734479280720531
GSM9237906,P4_AAH,AAH,macrophage,inflammatory_macrophage,833,0.2969079229686683
