sample,sample_name,stage,context,score,n_cells,mean_score
GSM5019486,GSM5019486_HJY-T,Tumor,all_cells,refined_inflammatory_macrophage,4001,0.3156688803106376
GSM5019486,GSM5019486_HJY-T,Tumor,epithelial,epithelial,1641,1.2734056925209805
GSM5019486,GSM5019486_HJY-T,Tumor,epithelial,macrophage,1641,0.04873495708416697
GSM5019486,GSM5019486_HJY-T,Tumor,epithelial,epithelial_progenitor_like,1641,1.517985345585923
GSM5019486,GSM5019486_HJY-T,Tumor,epithelial,spp1_macrophage,1641,0.6495298485461775
GSM5019486,GSM5019486_HJY-T,Tumor,epithelial,c1q_macrophage,1641,0.04805632143869835
GSM5019486,GSM5019486_HJY-T,Tumor,epithelial,inflammatory_macrophage,1641,0.3369298642027426
GSM5019486,GSM5019486_HJY-T,Tumor,epithelial,refined_epithelial_progenitor_like,1641,0.8389750484839752
GSM5019486,GSM5019486_HJY-T,Tumor,epithelial,refined_spp1_macrophage,1641,0.20594371221898983
GSM5019486,GSM5019486_HJY-T,Tumor,epithelial,refined_c1q_macrophage,1641,0.24940946352802168
GSM5019486,GSM5019486_HJY-T,Tumor,epithelial,refined_inflammatory_macrophage,1641,0.17153742782521225
GSM5019486,GSM5019486_HJY-T,Tumor,macrophage,epithelial,313,0.0956354683937535
GSM5019486,GSM5019486_HJY-T,Tumor,macrophage,macrophage,313,1.2738226059623636
GSM5019486,GSM5019486_HJY-T,Tumor,macrophage,epithelial_progenitor_like,313,0.10413407759124858
GSM5019486,GSM5019486_HJY-T,Tumor,macrophage,spp1_macrophage,313,0.8644158809984339
GSM5019486,GSM5019486_HJY-T,Tumor,macrophage,c1q_macrophage,313,1.4952544140802113
GSM5019486,GSM5019486_HJY-T,Tumor,macrophage,inflammatory_macrophage,313,1.4228030454648237
GSM5019486,GSM5019486_HJY-T,Tumor,macrophage,refined_epithelial_progenitor_like,313,0.14979997660731043
GSM5019486,GSM5019486_HJY-T,Tumor,macrophage,refined_spp1_macrophage,313,0.13228966474688558
GSM5019486,GSM5019486_HJY-T,Tumor,macrophage,refined_c1q_macrophage,313,0.41979470877778235
GSM5019486,GSM5019486_HJY-T,Tumor,macrophage,refined_inflammatory_macrophage,313,0.6758276293678797
GSM5019487,GSM5019487_HYS-A,Adjacent,all_cells,epithelial,5529,0.15484744196902814
GSM5019487,GSM5019487_HYS-A,Adjacent,all_cells,macrophage,5529,0.7698756211081588
GSM5019487,GSM5019487_HYS-A,Adjacent,all_cells,epithelial_progenitor_like,5529,0.05993889027081769
GSM5019487,GSM5019487_HYS-A,Adjacent,all_cells,spp1_macrophage,5529,0.6564245634599326
GSM5019487,GSM5019487_HYS-A,Adjacent,all_cells,c1q_macrophage,5529,0.9450342459968679
GSM5019487,GSM5019487_HYS-A,Adjacent,all_cells,inflammatory_macrophage,5529,0.6556049097308279
