sample,sample_name,stage,axis_id,axis_label,evidence_type,gene_panel,panel_genes,perturbation_id,perturbation_type,perturbed_genes,perturbation_factor,present_perturbed_genes,missing_perturbed_genes,radius,baseline_coupling_score,perturbed_coupling_score,coupling_delta,coupling_relative_delta,baseline_source_weighted_neighbor_target_mean,perturbed_source_weighted_neighbor_target_mean,source_weighted_neighbor_target_delta,source_weighted_neighbor_target_relative_delta,baseline_source_mean,perturbed_source_mean,baseline_target_mean,perturbed_target_mean,n_spots,n_spots_with_neighbors
GSM9226189,P10_MIA,MIA,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,source,"C1QA,C1QB,C1QC,APOE,TREM2,LGALS3,MARCO",c1q_apoe_trem2_lgals3_gene_TREM2_x0,gene,TREM2,0.0,TREM2,,395.2176615486712,0.0023647443911597376,0.0023261410928156387,-3.860329834409889e-05,-0.0163245120649876,0.009967191197242105,0.009804481664288687,-0.00016270953295341797,-0.016324512064987702,0.23720761287488223,0.23720761287488223,0.010055089845843952,0.009891288210033622,12180,8344
GSM9226189,P10_MIA,MIA,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,target,"LRP1,TREM2,CD44",c1q_apoe_trem2_lgals3_gene_TREM2_x0,gene,TREM2,0.0,TREM2,,395.2176615486712,0.002922762265843781,0.0028326879030408834,-9.007436280289785e-05,-0.03081823104654528,0.012319187831316728,0.01193953225442542,-0.0003796555768913086,-0.030818231046545328,0.23720761287488223,0.23720761287488223,0.011895903773094418,0.011513699956203646,12180,8344
GSM9226189,P10_MIA,MIA,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,source,"C1QA,C1QB,C1QC,APOE,TREM2,LGALS3,MARCO",c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,gene,TREM2,0.5,TREM2,,395.2176615486712,0.0023647443911597376,0.0023454427419876884,-1.930164917204923e-05,-0.008162256032493709,0.009967191197242105,0.009885836430765398,-8.135476647670725e-05,-0.008162256032493678,0.23720761287488223,0.23720761287488223,0.010055089845843952,0.009973189027938785,12180,8344
GSM9226189,P10_MIA,MIA,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,target,"LRP1,TREM2,CD44",c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,gene,TREM2,0.5,TREM2,,395.2176615486712,0.002922762265843781,0.002877725084442332,-4.503718140144936e-05,-0.015409115523272789,0.012319187831316728,0.012129360042871072,-0.00018982778844565604,-0.015409115523272805,0.23720761287488223,0.23720761287488223,0.011895903773094418,0.011704801864649032,12180,8344
GSM9226189,P10_MIA,MIA,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF,mif_cd74_cxcr4_gene_MIF_x0,gene,MIF,0.0,MIF,,395.2176615486712,0.0007411303217598013,0.0,-0.0007411303217598013,-1.0,0.0031237996151587074,0.0,-0.0031237996151587074,-1.0,0.23720761287488223,0.23720761287488223,0.003025039509588686,0.0,12180,8344
GSM9226189,P10_MIA,MIA,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF,mif_cd74_cxcr4_gene_MIF_x0p5,gene,MIF,0.5,MIF,,395.2176615486712,0.0007411303217598013,0.00037056516087990066,-0.00037056516087990066,-0.5,0.0031237996151587074,0.0015618998075793537,-0.0015618998075793537,-0.5,0.23720761287488223,0.23720761287488223,0.003025039509588686,0.001512519754794343,12180,8344
GSM9226189,P10_MIA,MIA,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CD74_x0,gene,CD74,0.0,CD74,,395.2176615486712,0.009973352243685769,0.0026478033022481005,-0.007325548941437669,-0.7345122043669468,0.04203680916291673,0.011160259800110095,-0.030876549362806635,-0.7345122043669468,0.23720761287488223,0.23720761287488223,0.041245665169216295,0.010844524063680897,12180,8344
GSM9226189,P10_MIA,MIA,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CD74_x0p5,gene,CD74,0.5,CD74,,395.2176615486712,0.009973352243685769,0.006310577772966935,-0.0036627744707188343,-0.3672561021834734,0.04203680916291673,0.026598534481513413,-0.015438274681403318,-0.3672561021834734,0.23720761287488223,0.23720761287488223,0.041245665169216295,0.026045094616448595,12180,8344
GSM9226189,P10_MIA,MIA,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CXCR4_x0,gene,CXCR4,0.0,CXCR4,,395.2176615486712,0.009973352243685769,0.009255132863290562,-0.0007182193803952075,-0.07201383876217944,0.04203680916291673,0.03900957716578193,-0.0030272319971347966,-0.07201383876217954,0.23720761287488223,0.23720761287488223,0.041245665169216295,0.0382025799308733,12180,8344
GSM9226189,P10_MIA,MIA,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CXCR4_x0p5,gene,CXCR4,0.5,CXCR4,,395.2176615486712,0.009973352243685769,0.009614242553488165,-0.00035910969019760375,-0.03600691938108972,0.04203680916291673,0.04052319316434933,-0.0015136159985673983,-0.03600691938108977,0.23720761287488223,0.23720761287488223,0.041245665169216295,0.039724122550044795,12180,8344
