Cell_type.refined,n_cells,mean_expression,median_expression,gene
MAST cells,3396,0.013791235,0.0,PECAM1
Myeloid cells,42245,0.51622707,0.0,PECAM1
T/NK cells,64403,0.023757515,0.0,PECAM1
,28437,0.027726235,0.0,PECAM1
B lymphocytes,27657,0.0012720326,0.0,VWF
Endothelial cells,2107,1.2457896,1.0986123,VWF
Epithelial cells,36467,0.0062520755,0.0,VWF
Fibroblasts,3794,0.0057704346,0.0,VWF
MAST cells,3396,0.003708608,0.0,VWF
Myeloid cells,42245,0.008929737,0.0,VWF
T/NK cells,64403,0.0011382032,0.0,VWF
,28437,0.0044603623,0.0,VWF
B lymphocytes,27657,0.00022556042,0.0,KDR
Endothelial cells,2107,0.253068,0.0,KDR
Epithelial cells,36467,0.08367982,0.0,KDR
Fibroblasts,3794,0.020623742,0.0,KDR
MAST cells,3396,0.0012246417,0.0,KDR
Myeloid cells,42245,0.001420668,0.0,KDR
T/NK cells,64403,0.00031211696,0.0,KDR
,28437,0.002018175,0.0,KDR
B lymphocytes,27657,0.0011779267,0.0,CLDN5
Endothelial cells,2107,1.9357395,1.9459101,CLDN5
Epithelial cells,36467,0.0068007223,0.0,CLDN5
Fibroblasts,3794,0.007962782,0.0,CLDN5
MAST cells,3396,0.006079251,0.0,CLDN5
Myeloid cells,42245,0.009515895,0.0,CLDN5
T/NK cells,64403,0.0022540719,0.0,CLDN5
,28437,0.006522095,0.0,CLDN5
B lymphocytes,27657,0.008995471,0.0,ENG
Endothelial cells,2107,0.9395143,0.6931472,ENG
Epithelial cells,36467,0.07793486,0.0,ENG
Fibroblasts,3794,0.49876726,0.0,ENG
MAST cells,3396,0.024766307,0.0,ENG
Myeloid cells,42245,0.41603056,0.0,ENG
T/NK cells,64403,0.01306994,0.0,ENG
,28437,0.016521027,0.0,ENG
B lymphocytes,27657,0.008576535,0.0,COL1A1
Endothelial cells,2107,0.013214841,0.0,COL1A1
Epithelial cells,36467,0.45531484,0.0,COL1A1
Fibroblasts,3794,2.1298022,1.9459101,COL1A1
MAST cells,3396,0.0063619986,0.0,COL1A1
Myeloid cells,42245,0.022092959,0.0,COL1A1
T/NK cells,64403,0.007292031,0.0,COL1A1
,28437,0.011115431,0.0,COL1A1
B lymphocytes,27657,0.0052177007,0.0,COL1A2
Endothelial cells,2107,0.014530735,0.0,COL1A2
Epithelial cells,36467,0.050194863,0.0,COL1A2
Fibroblasts,3794,2.5667849,2.6020033,COL1A2
MAST cells,3396,0.0058343895,0.0,COL1A2
Myeloid cells,42245,0.018502066,0.0,COL1A2
T/NK cells,64403,0.004329435,0.0,COL1A2
