Cell_type.refined,n_cells,mean_expression,median_expression,gene
Epithelial cells,36467,0.075557254,0.0,IL1RAP
Fibroblasts,3794,0.033175074,0.0,IL1RAP
MAST cells,3396,0.015084909,0.0,IL1RAP
Myeloid cells,42245,0.09825776,0.0,IL1RAP
T/NK cells,64403,0.005834378,0.0,IL1RAP
,28437,0.005173479,0.0,IL1RAP
B lymphocytes,27657,0.0040936675,0.0,LRP1
Endothelial cells,2107,0.018584859,0.0,LRP1
Epithelial cells,36467,0.10856441,0.0,LRP1
Fibroblasts,3794,0.86900884,0.6931472,LRP1
MAST cells,3396,0.0064813932,0.0,LRP1
Myeloid cells,42245,0.47884822,0.0,LRP1
T/NK cells,64403,0.003078119,0.0,LRP1
,28437,0.006570458,0.0,LRP1
B lymphocytes,27657,0.33434144,0.0,MIF
Endothelial cells,2107,0.3562441,0.0,MIF
Epithelial cells,36467,1.1659329,1.0986123,MIF
Fibroblasts,3794,0.6249713,0.6931472,MIF
MAST cells,3396,0.19122712,0.0,MIF
Myeloid cells,42245,0.64014906,0.6931472,MIF
T/NK cells,64403,0.29444548,0.0,MIF
,28437,0.28999647,0.0,MIF
B lymphocytes,27657,3.179207,3.3672957,CD74
Endothelial cells,2107,2.2168684,2.3025851,CD74
Epithelial cells,36467,1.8250111,1.7917595,CD74
Fibroblasts,3794,1.0602858,1.0986123,CD74
MAST cells,3396,0.58032507,0.6931472,CD74
Myeloid cells,42245,3.7708783,4.0073333,CD74
T/NK cells,64403,0.992983,1.0986123,CD74
,28437,0.92082894,0.6931472,CD74
B lymphocytes,27657,1.4752654,1.609438,CXCR4
Endothelial cells,2107,0.20096678,0.0,CXCR4
Epithelial cells,36467,0.0793887,0.0,CXCR4
Fibroblasts,3794,0.13658367,0.0,CXCR4
MAST cells,3396,0.07462935,0.0,CXCR4
Myeloid cells,42245,0.48005038,0.0,CXCR4
T/NK cells,64403,1.2356019,1.0986123,CXCR4
,28437,1.0837328,1.0986123,CXCR4
B lymphocytes,27657,0.0026400557,0.0,CXCL9
Endothelial cells,2107,0.02022433,0.0,CXCL9
Epithelial cells,36467,0.006375563,0.0,CXCL9
Fibroblasts,3794,0.04528021,0.0,CXCL9
MAST cells,3396,0.0016985633,0.0,CXCL9
Myeloid cells,42245,0.0959555,0.0,CXCL9
T/NK cells,64403,0.0015731762,0.0,CXCL9
,28437,0.0018014682,0.0,CXCL9
B lymphocytes,27657,0.009871952,0.0,CXCL10
Endothelial cells,2107,0.04573081,0.0,CXCL10
Epithelial cells,36467,0.017373854,0.0,CXCL10
Fibroblasts,3794,0.041849338,0.0,CXCL10
MAST cells,3396,0.004220466,0.0,CXCL10
Myeloid cells,42245,0.18366063,0.0,CXCL10
T/NK cells,64403,0.00350406,0.0,CXCL10
,28437,0.0047880607,0.0,CXCL10
B lymphocytes,27657,0.049628876,0.0,CXCR3
Endothelial cells,2107,0.008087801,0.0,CXCR3
Epithelial cells,36467,0.008645718,0.0,CXCR3
Fibroblasts,3794,0.0074457396,0.0,CXCR3
MAST cells,3396,0.0050836694,0.0,CXCR3
Myeloid cells,42245,0.017599028,0.0,CXCR3
T/NK cells,64403,0.14450257,0.0,CXCR3
,28437,0.100561075,0.0,CXCR3
