Sample_Origin,Cell_type.refined,n_cells,mean_score,median_score,sd_score,score
PE,B lymphocytes,3285,0.1321253,0.11552453,0.2051415,t_nk
PE,Epithelial cells,396,0.21252081,0.11552453,0.27975917,t_nk
PE,Myeloid cells,3063,0.24737403,0.23104906,0.24365649,t_nk
PE,T/NK cells,9192,0.89896274,0.8654928,0.2832553,t_nk
PE,,4368,0.5793554,0.54930615,0.31128076,t_nk
mBrain,B lymphocytes,1311,0.058869507,0.0,0.093457244,t_nk
mBrain,Endothelial cells,159,0.021785242,0.0,0.078513324,t_nk
mBrain,Epithelial cells,15463,0.01849905,0.0,0.06767077,t_nk
mBrain,Fibroblasts,444,0.026727822,0.0,0.066021115,t_nk
mBrain,MAST cells,508,0.05365034,0.0,0.11391862,t_nk
mBrain,Myeloid cells,5657,0.11050915,0.0,0.1684053,t_nk
mBrain,T/NK cells,2683,0.84047323,0.7803552,0.36745244,t_nk
mBrain,,2835,0.38499698,0.29862657,0.39699692,t_nk
mLN,B lymphocytes,6062,0.1367116,0.11552453,0.17027164,t_nk
mLN,Epithelial cells,3053,0.11289652,0.0,0.18729031,t_nk
mLN,Myeloid cells,5442,0.17682526,0.11552453,0.20887205,t_nk
mLN,T/NK cells,5069,1.056995,0.9985774,0.3958989,t_nk
mLN,,1819,0.810866,0.7499683,0.45881125,t_nk
nLN,B lymphocytes,10584,0.12749575,0.11552453,0.17422614,t_nk
nLN,Myeloid cells,1288,0.19976982,0.11552453,0.25540227,t_nk
nLN,T/NK cells,19478,0.8085561,0.7979153,0.23652674,t_nk
nLN,,6096,0.46562827,0.45134172,0.26610076,t_nk
nLung,B lymphocytes,634,0.13985293,0.11552453,0.19995524,t_nk
nLung,Endothelial cells,1295,0.07991368,0.0,0.22396663,t_nk
nLung,Epithelial cells,3703,0.08837479,0.0,0.18870391,t_nk
nLung,Fibroblasts,1585,0.08238251,0.0,0.17362231,t_nk
nLung,MAST cells,1079,0.083422415,0.0,0.15194635,t_nk
nLung,Myeloid cells,16672,0.25817353,0.23104906,0.2232971,t_nk
nLung,T/NK cells,11413,1.0097088,0.98782104,0.33109805,t_nk
nLung,,6614,0.87747306,0.901941,0.43058136,t_nk
tL/B,B lymphocytes,469,0.14721952,0.11552453,0.18967366,t_nk
tL/B,Epithelial cells,6582,0.037225496,0.0,0.12343277,t_nk
tL/B,Myeloid cells,1329,0.18087357,0.11552453,0.21875164,t_nk
tL/B,T/NK cells,2627,1.0940735,1.0485948,0.39803886,t_nk
tL/B,,963,0.83158755,0.7607247,0.4854685,t_nk
tLung,B lymphocytes,5312,0.10724185,0.11552453,0.16614658,t_nk
tLung,Endothelial cells,627,0.054897387,0.0,0.14796756,t_nk
tLung,Epithelial cells,7270,0.065088704,0.0,0.13782787,t_nk
