sample,sample_name,stage,broad_class,n_cells,denominator,fraction
GSM9237906,P4_AAH,AAH,macrophage,833,5613,0.14840548726171388
GSM9237906,P4_AAH,AAH,mast_cell,152,5613,0.027079992873686086
GSM9237906,P4_AAH,AAH,neutrophil,19,5613,0.0033849991092107607
GSM9237906,P4_AAH,AAH,t_nk,900,5613,0.16034206306787813
GSM9237906,P4_AAH,AAH,unassigned,8,5613,0.0014252627828255835
GSM9237907,P4_AAH1,AAH,ambiguous,476,14058,0.03385972400056907
GSM9237907,P4_AAH1,AAH,b_plasma,218,14058,0.015507184521269028
GSM9237907,P4_AAH1,AAH,dendritic,30,14058,0.002134016218523261
GSM9237907,P4_AAH1,AAH,endothelial,660,14058,0.046948356807511735
GSM9237907,P4_AAH1,AAH,epithelial,5905,14058,0.4200455256793285
GSM9237907,P4_AAH1,AAH,fibroblast,3312,14058,0.235595390524968
GSM9237907,P4_AAH1,AAH,macrophage,1788,14058,0.12718736662398633
GSM9237907,P4_AAH1,AAH,mast_cell,364,14058,0.02589273011808223
GSM9237907,P4_AAH1,AAH,neutrophil,31,14058,0.002205150092474036
GSM9237907,P4_AAH1,AAH,t_nk,1256,14058,0.08934414568217385
GSM9237907,P4_AAH1,AAH,unassigned,18,14058,0.0012804097311139564
GSM9237908,P4_LUAD,LUAD,ambiguous,1235,41638,0.029660406359575387
