perturbation_id,axis_id,evidence_type,stage,n_samples,baseline_panel_mean,perturbed_panel_mean,panel_mean_delta_mean,baseline_observed_fraction,perturbed_observed_fraction,observed_fraction_delta_mean
mif_cd74_cxcr4_gene_CD74_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,MIA,4,0.062023656215,0.037443672787,-0.024579983428,0.601061056327,0.604865162647,0.003804106321
mif_cd74_cxcr4_gene_CD74_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,Normal,1,0.10942720767,0.062603322167,-0.046823885503,0.46803726309,0.465146161259,-0.002891101831
mif_cd74_cxcr4_gene_CXCR4_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,AAH,11,0.597989103971,0.568987543819,-0.029001560152,0.48640642353,0.479897179286,-0.006509244244
mif_cd74_cxcr4_gene_CXCR4_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,AIS,14,0.34827856845,0.324244816305,-0.024033752145,0.526843210105,0.528525374818,0.001682164713
mif_cd74_cxcr4_gene_CXCR4_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,LUAD,26,0.581349786788,0.531759995132,-0.049589791656,0.572474847366,0.580631169275,0.008156321909
mif_cd74_cxcr4_gene_CXCR4_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,MIA,4,0.062023656215,0.059961721214,-0.002061935001,0.601061056327,0.601932049325,0.000870992998
mif_cd74_cxcr4_gene_CXCR4_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,Normal,1,0.10942720767,0.107747908072,-0.001679299598,0.46803726309,0.470607131385,0.002569868294
mif_cd74_cxcr4_gene_CXCR4_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,AAH,11,0.597989103971,0.583488323895,-0.014500780076,0.48640642353,0.482361102035,-0.004045321495
mif_cd74_cxcr4_gene_CXCR4_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,AIS,14,0.34827856845,0.336261692378,-0.012016876072,0.526843210105,0.528144695995,0.00130148589
mif_cd74_cxcr4_gene_CXCR4_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,LUAD,26,0.581349786788,0.55655489096,-0.024794895828,0.572474847366,0.575506296932,0.003031449567
mif_cd74_cxcr4_gene_CXCR4_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,MIA,4,0.062023656215,0.060992688714,-0.001030967501,0.601061056327,0.60214359542,0.001082539094
mif_cd74_cxcr4_gene_CXCR4_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,Normal,1,0.10942720767,0.108587557871,-0.000839649799,0.46803726309,0.470607131385,0.002569868294
mif_cd74_cxcr4_gene_MIF_x0,mif_cd74_cxcr4,source_near_epithelial_progenitor,AAH,11,0.109003606986,0.0,-0.109003606986,0.404228945519,0.0,-0.404228945519
mif_cd74_cxcr4_gene_MIF_x0,mif_cd74_cxcr4,source_near_epithelial_progenitor,AIS,14,0.079465854708,0.0,-0.079465854708,0.464337094508,0.0,-0.464337094508
mif_cd74_cxcr4_gene_MIF_x0,mif_cd74_cxcr4,source_near_epithelial_progenitor,LUAD,26,0.188579489112,0.0,-0.188579489112,0.663461678375,0.0,-0.663461678375
mif_cd74_cxcr4_gene_MIF_x0,mif_cd74_cxcr4,source_near_epithelial_progenitor,MIA,4,0.003925716747,0.0,-0.003925716747,0.466505173515,0.0,-0.466505173515
mif_cd74_cxcr4_gene_MIF_x0,mif_cd74_cxcr4,source_near_epithelial_progenitor,Normal,1,0.003381702359,0.0,-0.003381702359,0.325730806296,0.0,-0.325730806296
mif_cd74_cxcr4_gene_MIF_x0p5,mif_cd74_cxcr4,source_near_epithelial_progenitor,AAH,11,0.109003606986,0.054501803493,-0.054501803493,0.404228945519,0.404228945519,0.0
mif_cd74_cxcr4_gene_MIF_x0p5,mif_cd74_cxcr4,source_near_epithelial_progenitor,AIS,14,0.079465854708,0.039732927354,-0.039732927354,0.464337094508,0.464337094508,0.0
mif_cd74_cxcr4_gene_MIF_x0p5,mif_cd74_cxcr4,source_near_epithelial_progenitor,LUAD,26,0.188579489112,0.094289744556,-0.094289744556,0.663461678375,0.663461678375,0.0
mif_cd74_cxcr4_gene_MIF_x0p5,mif_cd74_cxcr4,source_near_epithelial_progenitor,MIA,4,0.003925716747,0.001962858374,-0.001962858374,0.466505173515,0.466505173515,0.0
mif_cd74_cxcr4_gene_MIF_x0p5,mif_cd74_cxcr4,source_near_epithelial_progenitor,Normal,1,0.003381702359,0.001690851179,-0.001690851179,0.325730806296,0.325730806296,0.0
