Sample_Origin,Cell_type.refined,n_cells,mean_expression,median_expression,gene
nLN,B lymphocytes,10584,0.00013098019,0.0,MUC1
nLN,Myeloid cells,1288,0.0010763155,0.0,MUC1
nLN,T/NK cells,19478,0.0004270339,0.0,MUC1
nLN,,6096,0.0005685262,0.0,MUC1
nLung,B lymphocytes,634,0.015306089,0.0,MUC1
nLung,Endothelial cells,1295,0.01338122,0.0,MUC1
nLung,Epithelial cells,3703,1.4638662,1.609438,MUC1
nLung,Fibroblasts,1585,0.035154544,0.0,MUC1
nLung,MAST cells,1079,0.0115631595,0.0,MUC1
nLung,Myeloid cells,16672,0.029297365,0.0,MUC1
nLung,T/NK cells,11413,0.0097379405,0.0,MUC1
nLung,,6614,0.008340504,0.0,MUC1
tL/B,B lymphocytes,469,0.030423047,0.0,MUC1
tL/B,Epithelial cells,6582,1.7044553,1.7917595,MUC1
tL/B,Myeloid cells,1329,0.061399646,0.0,MUC1
tL/B,T/NK cells,2627,0.021899968,0.0,MUC1
tL/B,,963,0.019434033,0.0,MUC1
tLung,B lymphocytes,5312,0.049469717,0.0,MUC1
tLung,Endothelial cells,627,0.052231174,0.0,MUC1
tLung,Epithelial cells,7270,2.057584,2.0794415,MUC1
tLung,Fibroblasts,1654,0.09210674,0.0,MUC1
tLung,MAST cells,1809,0.031773962,0.0,MUC1
tLung,Myeloid cells,8794,0.096317105,0.0,MUC1
tLung,T/NK cells,13941,0.031912636,0.0,MUC1
tLung,,5742,0.033862013,0.0,MUC1
PE,B lymphocytes,3285,0.0,0.0,SFTPC
PE,Epithelial cells,396,0.0017503717,0.0,SFTPC
PE,Myeloid cells,3063,0.0,0.0,SFTPC
PE,T/NK cells,9192,0.00011951831,0.0,SFTPC
PE,,4368,0.0,0.0,SFTPC
mBrain,B lymphocytes,1311,1.5280155,1.3862944,SFTPC
mBrain,Endothelial cells,159,0.09904887,0.0,SFTPC
mBrain,Epithelial cells,15463,0.47857198,0.0,SFTPC
mBrain,Fibroblasts,444,0.07332226,0.0,SFTPC
mBrain,MAST cells,508,2.3667452,2.6390574,SFTPC
mBrain,Myeloid cells,5657,0.2978053,0.0,SFTPC
mBrain,T/NK cells,2683,0.9724722,0.0,SFTPC
mBrain,,2835,0.8204166,0.0,SFTPC
mLN,B lymphocytes,6062,0.00034302895,0.0,SFTPC
mLN,Epithelial cells,3053,0.02929411,0.0,SFTPC
mLN,Myeloid cells,5442,0.0016558092,0.0,SFTPC
mLN,T/NK cells,5069,0.0015841556,0.0,SFTPC
mLN,,1819,0.00038105948,0.0,SFTPC
nLN,B lymphocytes,10584,0.0,0.0,SFTPC
nLN,Myeloid cells,1288,0.0,0.0,SFTPC
nLN,T/NK cells,19478,3.558616e-05,0.0,SFTPC
nLN,,6096,0.0,0.0,SFTPC
nLung,B lymphocytes,634,0.8490195,0.6931472,SFTPC
nLung,Endothelial cells,1295,0.712605,0.6931472,SFTPC
nLung,Epithelial cells,3703,4.3555746,6.063785,SFTPC
nLung,Fibroblasts,1585,0.84215313,0.6931472,SFTPC
nLung,MAST cells,1079,0.6955833,0.6931472,SFTPC
nLung,Myeloid cells,16672,1.3156048,1.3862944,SFTPC
nLung,T/NK cells,11413,0.72561127,0.6931472,SFTPC
nLung,,6614,0.70801,0.6931472,SFTPC
tL/B,B lymphocytes,469,0.005911703,0.0,SFTPC
tL/B,Epithelial cells,6582,0.0014490471,0.0,SFTPC
tL/B,Myeloid cells,1329,0.0020862217,0.0,SFTPC
tL/B,T/NK cells,2627,0.0029024053,0.0,SFTPC
tL/B,,963,0.002159337,0.0,SFTPC
tLung,B lymphocytes,5312,0.4247183,0.0,SFTPC
tLung,Endothelial cells,627,0.55219567,0.6931472,SFTPC
tLung,Epithelial cells,7270,1.4784681,0.6931472,SFTPC
tLung,Fibroblasts,1654,0.40262085,0.0,SFTPC
tLung,MAST cells,1809,0.3751072,0.0,SFTPC
tLung,Myeloid cells,8794,0.56907684,0.6931472,SFTPC
tLung,T/NK cells,13941,0.2864166,0.0,SFTPC
tLung,,5742,0.30225915,0.0,SFTPC
PE,B lymphocytes,3285,0.0002110037,0.0,SFTPA1
PE,Epithelial cells,396,0.2584737,0.0,SFTPA1
PE,Myeloid cells,3063,0.002489265,0.0,SFTPA1
PE,T/NK cells,9192,0.00030163061,0.0,SFTPA1
PE,,4368,0.00047606262,0.0,SFTPA1
mBrain,B lymphocytes,1311,0.43981376,0.0,SFTPA1
mBrain,Endothelial cells,159,0.06539124,0.0,SFTPA1
mBrain,Epithelial cells,15463,0.4960058,0.0,SFTPA1
mBrain,Fibroblasts,444,0.057979472,0.0,SFTPA1
mBrain,MAST cells,508,0.55028844,0.6931472,SFTPA1
mBrain,Myeloid cells,5657,0.090767846,0.0,SFTPA1
mBrain,T/NK cells,2683,0.2153097,0.0,SFTPA1
mBrain,,2835,0.17727031,0.0,SFTPA1
mLN,B lymphocytes,6062,0.007546637,0.0,SFTPA1
mLN,Epithelial cells,3053,0.85012555,0.0,SFTPA1
mLN,Myeloid cells,5442,0.023799026,0.0,SFTPA1
mLN,T/NK cells,5069,0.015281631,0.0,SFTPA1
mLN,,1819,0.017974548,0.0,SFTPA1
nLN,B lymphocytes,10584,0.0,0.0,SFTPA1
nLN,Myeloid cells,1288,0.00053815776,0.0,SFTPA1
nLN,T/NK cells,19478,0.0,0.0,SFTPA1
nLN,,6096,0.0,0.0,SFTPA1
nLung,B lymphocytes,634,0.17515525,0.0,SFTPA1
nLung,Endothelial cells,1295,0.124172576,0.0,SFTPA1
nLung,Epithelial cells,3703,2.8969867,3.9318256,SFTPA1
nLung,Fibroblasts,1585,0.17595711,0.0,SFTPA1
nLung,MAST cells,1079,0.12953985,0.0,SFTPA1
nLung,Myeloid cells,16672,0.33701557,0.0,SFTPA1
nLung,T/NK cells,11413,0.11761803,0.0,SFTPA1
nLung,,6614,0.12193049,0.0,SFTPA1
tL/B,B lymphocytes,469,0.01034548,0.0,SFTPA1
tL/B,Epithelial cells,6582,0.045598887,0.0,SFTPA1
tL/B,Myeloid cells,1329,0.013038887,0.0,SFTPA1
tL/B,T/NK cells,2627,0.0050132456,0.0,SFTPA1
tL/B,,963,0.004318674,0.0,SFTPA1
tLung,B lymphocytes,5312,0.092775196,0.0,SFTPA1
tLung,Endothelial cells,627,0.13654159,0.0,SFTPA1
tLung,Epithelial cells,7270,2.04337,1.609438,SFTPA1
tLung,Fibroblasts,1654,0.07691223,0.0,SFTPA1
tLung,MAST cells,1809,0.06482078,0.0,SFTPA1
tLung,Myeloid cells,8794,0.20376222,0.0,SFTPA1
tLung,T/NK cells,13941,0.06839356,0.0,SFTPA1
tLung,,5742,0.06897654,0.0,SFTPA1
PE,B lymphocytes,3285,0.0004220074,0.0,SFTPA2
PE,Epithelial cells,396,0.2048051,0.0,SFTPA2
PE,Myeloid cells,3063,0.0006788905,0.0,SFTPA2
PE,T/NK cells,9192,0.0008294842,0.0,SFTPA2
PE,,4368,0.00047606262,0.0,SFTPA2
mBrain,B lymphocytes,1311,0.4188393,0.0,SFTPA2
mBrain,Endothelial cells,159,0.07304153,0.0,SFTPA2
mBrain,Epithelial cells,15463,0.4680258,0.0,SFTPA2
mBrain,Fibroblasts,444,0.052597266,0.0,SFTPA2
mBrain,MAST cells,508,0.5296525,0.6931472,SFTPA2
mBrain,Myeloid cells,5657,0.085375406,0.0,SFTPA2
mBrain,T/NK cells,2683,0.21656556,0.0,SFTPA2
mBrain,,2835,0.18847163,0.0,SFTPA2
mLN,B lymphocytes,6062,0.008269506,0.0,SFTPA2
mLN,Epithelial cells,3053,0.722569,0.0,SFTPA2
mLN,Myeloid cells,5442,0.020211022,0.0,SFTPA2
mLN,T/NK cells,5069,0.013367237,0.0,SFTPA2
mLN,,1819,0.013337081,0.0,SFTPA2
nLN,B lymphocytes,10584,0.0,0.0,SFTPA2
nLN,Myeloid cells,1288,0.0,0.0,SFTPA2
nLN,T/NK cells,19478,0.0,0.0,SFTPA2
nLN,,6096,0.0,0.0,SFTPA2
nLung,B lymphocytes,634,0.19062753,0.0,SFTPA2
nLung,Endothelial cells,1295,0.14431682,0.0,SFTPA2
nLung,Epithelial cells,3703,2.918995,3.8918202,SFTPA2
nLung,Fibroblasts,1585,0.1742913,0.0,SFTPA2
nLung,MAST cells,1079,0.14937736,0.0,SFTPA2
nLung,Myeloid cells,16672,0.38128936,0.0,SFTPA2
nLung,T/NK cells,11413,0.12392737,0.0,SFTPA2
nLung,,6614,0.12384649,0.0,SFTPA2
tL/B,B lymphocytes,469,0.014165863,0.0,SFTPA2
tL/B,Epithelial cells,6582,0.056896023,0.0,SFTPA2
tL/B,Myeloid cells,1329,0.021688864,0.0,SFTPA2
tL/B,T/NK cells,2627,0.008861561,0.0,SFTPA2
tL/B,,963,0.0054594968,0.0,SFTPA2
tLung,B lymphocytes,5312,0.1080616,0.0,SFTPA2
tLung,Endothelial cells,627,0.12573957,0.0,SFTPA2
tLung,Epithelial cells,7270,2.1557367,1.609438,SFTPA2
tLung,Fibroblasts,1654,0.07542503,0.0,SFTPA2
tLung,MAST cells,1809,0.077304386,0.0,SFTPA2
tLung,Myeloid cells,8794,0.23798384,0.0,SFTPA2
tLung,T/NK cells,13941,0.0813345,0.0,SFTPA2
tLung,,5742,0.07481588,0.0,SFTPA2
PE,B lymphocytes,3285,0.106319316,0.0,LYZ
PE,Epithelial cells,396,0.589182,0.0,LYZ
PE,Myeloid cells,3063,2.8336108,2.8332133,LYZ
PE,T/NK cells,9192,0.08338766,0.0,LYZ
PE,,4368,0.09765376,0.0,LYZ
mBrain,B lymphocytes,1311,0.041537143,0.0,LYZ
mBrain,Endothelial cells,159,0.11984843,0.0,LYZ
mBrain,Epithelial cells,15463,0.12494726,0.0,LYZ
mBrain,Fibroblasts,444,0.17157534,0.0,LYZ
mBrain,MAST cells,508,0.0206988,0.0,LYZ
mBrain,Myeloid cells,5657,1.467934,1.3862944,LYZ
mBrain,T/NK cells,2683,0.026117604,0.0,LYZ
mBrain,,2835,0.03141619,0.0,LYZ
mLN,B lymphocytes,6062,0.060255,0.0,LYZ
mLN,Epithelial cells,3053,0.3366629,0.0,LYZ
mLN,Myeloid cells,5442,2.430606,2.4849067,LYZ
mLN,T/NK cells,5069,0.05615466,0.0,LYZ
mLN,,1819,0.051109407,0.0,LYZ
nLN,B lymphocytes,10584,0.067656845,0.0,LYZ
nLN,Myeloid cells,1288,2.1438746,1.7917595,LYZ
nLN,T/NK cells,19478,0.03516539,0.0,LYZ
nLN,,6096,0.032944437,0.0,LYZ
nLung,B lymphocytes,634,0.39619046,0.0,LYZ
nLung,Endothelial cells,1295,0.2477926,0.0,LYZ
nLung,Epithelial cells,3703,0.38083768,0.0,LYZ
nLung,Fibroblasts,1585,0.15929739,0.0,LYZ
nLung,MAST cells,1079,0.24825874,0.0,LYZ
nLung,Myeloid cells,16672,2.9796636,3.0445225,LYZ
nLung,T/NK cells,11413,0.15317255,0.0,LYZ
nLung,,6614,0.16009608,0.0,LYZ
tL/B,B lymphocytes,469,0.111962505,0.0,LYZ
tL/B,Epithelial cells,6582,0.06910771,0.0,LYZ
tL/B,Myeloid cells,1329,2.2735589,2.3978953,LYZ
tL/B,T/NK cells,2627,0.0760454,0.0,LYZ
tL/B,,963,0.08626524,0.0,LYZ
tLung,B lymphocytes,5312,0.12607607,0.0,LYZ
tLung,Endothelial cells,627,0.21965979,0.0,LYZ
tLung,Epithelial cells,7270,0.24806416,0.0,LYZ
tLung,Fibroblasts,1654,0.15839523,0.0,LYZ
tLung,MAST cells,1809,0.1538063,0.0,LYZ
tLung,Myeloid cells,8794,2.9126637,3.0445225,LYZ
tLung,T/NK cells,13941,0.10546644,0.0,LYZ
tLung,,5742,0.09709433,0.0,LYZ
PE,B lymphocytes,3285,0.08544031,0.0,LST1
PE,Epithelial cells,396,0.21404278,0.0,LST1
PE,Myeloid cells,3063,2.0539436,2.1972246,LST1
PE,T/NK cells,9192,0.06725104,0.0,LST1
PE,,4368,0.09158896,0.0,LST1
mBrain,B lymphocytes,1311,0.044323195,0.0,LST1
mBrain,Endothelial cells,159,0.028706593,0.0,LST1
mBrain,Epithelial cells,15463,0.018257886,0.0,LST1
mBrain,Fibroblasts,444,0.06530524,0.0,LST1
mBrain,MAST cells,508,0.044692833,0.0,LST1
mBrain,Myeloid cells,5657,0.9927145,1.0986123,LST1
mBrain,T/NK cells,2683,0.05058724,0.0,LST1
mBrain,,2835,0.027032256,0.0,LST1
mLN,B lymphocytes,6062,0.09673786,0.0,LST1
mLN,Epithelial cells,3053,0.09232744,0.0,LST1
mLN,Myeloid cells,5442,1.3797959,1.3862944,LST1
mLN,T/NK cells,5069,0.06731684,0.0,LST1
mLN,,1819,0.068813205,0.0,LST1
nLN,B lymphocytes,10584,0.10839294,0.0,LST1
nLN,Myeloid cells,1288,1.1762036,1.0986123,LST1
nLN,T/NK cells,19478,0.04926584,0.0,LST1
nLN,,6096,0.09177197,0.0,LST1
nLung,B lymphocytes,634,0.28015497,0.0,LST1
nLung,Endothelial cells,1295,0.095803164,0.0,LST1
nLung,Epithelial cells,3703,0.15805541,0.0,LST1
nLung,Fibroblasts,1585,0.08568844,0.0,LST1
nLung,MAST cells,1079,0.1398647,0.0,LST1
nLung,Myeloid cells,16672,2.1054702,2.1972246,LST1
