"source_dataset","broad_class","target_gene","n_input_genes","n_input_cells","run_mode","gene","distance","Z","FC","p.value","p.adj"
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","STMN1",1.83170473203216e-06,0.398485106226962,0.037268653979738,0.84691909725379,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","MKI67",1.82926458008707e-06,0.398229762822576,0.0371694233536325,0.847120512021125,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","FAM89A",1.82012122552228e-06,0.397270215523468,0.0367987783817911,0.847875310555321,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","APOE",1.5578269292639e-06,0.367686547304862,0.0269569769289007,0.869584879351228,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","PLA2G7",1.20940780003187e-06,0.32043489294609,0.0162471916541837,0.89857279091332,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CXCR4",5.58306287786262e-07,0.182653154146039,0.00346240455979677,0.953077795533514,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","S100A8",5.48639710502841e-07,0.179649425996074,0.00334354559730051,0.953889298788989,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","TOP2A",5.18536510668924e-07,0.169976679008829,0.00298669898815921,0.956416746484901,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","TMEM106C",3.61568949683311e-07,0.109322045855639,0.00145216186737364,0.969602177491206,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","DUT",3.31263814936159e-07,0.0948909188018695,0.0012189356277843,0.972148908205747,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","NUSAP1",2.96405747227807e-07,0.0767245691633802,0.000975901562835973,0.975078600066084,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","MYBL2",2.83626404636722e-07,0.0695740713568674,0.000893564882389762,0.976152742940705,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","PRDM1",2.47148319386381e-07,0.0474194845041035,0.000678497256918573,0.979219068990972,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","LPL",2.67331904391099e-08,-0.274908921295726,7.93842520696391e-06,0.997751946380693,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","EMP2",1.7858983625274e-08,-0.326762579041008,3.54279686051398e-06,0.998498197127651,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","MDK",1.3880901622576e-08,-0.358210831470116,2.14026783903501e-06,0.998832722889615,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","GPR183",7.10970496364816e-09,-0.438324617514965,5.61482119690364e-07,0.999402128314498,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","GLDN",3.0561710818814e-16,-1.44806898029301,1.03749998010294e-21,0.9999999999743,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","ITGA5",2.78881473356085e-16,-1.45036660202854,8.63917161787343e-22,0.999999999976548,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CCL4",2.71197311555971e-16,-1.45106407853362,8.16965153883379e-22,0.999999999977194,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","PPARG",2.26273579899531e-16,-1.45554263296098,5.68722576689937e-22,0.999999999980972,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","ADAMDEC1",2.15833225345536e-16,-1.45669885781353,5.17451171472773e-22,0.99999999998185,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","IL1B",2.00105751743402e-16,-1.45854050408979,4.44786827443286e-22,0.999999999983173,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CXCL8",1.88512508942245e-16,-1.45998438840238,3.94741802708017e-22,0.999999999984148,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","UBE2C",1.85425635914249e-16,-1.46038245857348,3.81919934511619e-22,0.999999999984407,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","ATP6V0D2",1.77312655064155e-16,-1.46145816134991,3.49230558821709e-22,0.999999999985089,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CXCL10",1.71366433666811e-16,-1.46227539726082,3.26200250579883e-22,0.999999999985589,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CLEC10A",1.66863748845161e-16,-1.4629115871394,3.09283510315637e-22,0.999999999985968,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","RAB42",1.49505652544409e-16,-1.46552000894677,2.48283579951235e-22,0.999999999987428,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","HBB",1.43238340422108e-16,-1.46652997185852,2.27903678057436e-22,0.999999999987955,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CST6",1.39700512087222e-16,-1.46711798271634,2.16784770569622e-22,0.999999999988252,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CXCL9",1.33966571478363e-16,-1.46810041756992,1.99354323463133e-22,0.999999999988734,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","SPP1",1.31826183614215e-16,-1.46847697663895,1.93035031925788e-22,0.999999999988914,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CCL3",1.2898286335866e-16,-1.46898590084357,1.84797801706077e-22,0.999999999989154,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","FABP4",1.11034606141795e-16,-1.47245621748965,1.36946042300457e-22,0.999999999990663,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CD1C",9.50203210331898e-17,-1.47601418137841,1.00291877092442e-22,0.99999999999201,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","TNF",9.36570249000066e-17,-1.47634178229875,9.74346633228324e-23,0.999999999992124,0.999999999999067
