signature,rank,gene,expected_celltype,top_celltype,top_mean_expression,specificity_status
c1q_macrophage_vs_other_macrophage,24,MLPH,Myeloid cells,Epithelial cells,0.56567824,off_target
c1q_macrophage_vs_other_macrophage,25,LTA4H,Myeloid cells,Myeloid cells,0.8483419,expected
c1q_macrophage_vs_other_macrophage,26,MME,Myeloid cells,Myeloid cells,0.17056635,expected
c1q_macrophage_vs_other_macrophage,27,C1QB,Myeloid cells,Myeloid cells,2.325552,expected
c1q_macrophage_vs_other_macrophage,28,SLC19A3,Myeloid cells,Myeloid cells,0.057929654,expected
c1q_macrophage_vs_other_macrophage,29,PPIC,Myeloid cells,Fibroblasts,0.77459294,off_target
c1q_macrophage_vs_other_macrophage,30,IFI6,Myeloid cells,Myeloid cells,1.265196,expected
inflammatory_macrophage_vs_other_macrophage,1,IL1B,Myeloid cells,Myeloid cells,0.99897325,expected
inflammatory_macrophage_vs_other_macrophage,2,CCL3L1,Myeloid cells,,,missing
inflammatory_macrophage_vs_other_macrophage,3,CCL3,Myeloid cells,Myeloid cells,1.4867747,expected
inflammatory_macrophage_vs_other_macrophage,4,G0S2,Myeloid cells,Myeloid cells,0.7527943,expected
inflammatory_macrophage_vs_other_macrophage,5,GPR183,Myeloid cells,Myeloid cells,0.66715616,expected
inflammatory_macrophage_vs_other_macrophage,6,CCL17,Myeloid cells,Myeloid cells,0.069146805,expected
inflammatory_macrophage_vs_other_macrophage,7,NLRP3,Myeloid cells,Myeloid cells,0.14769883,expected
inflammatory_macrophage_vs_other_macrophage,8,SERPINB9,Myeloid cells,Myeloid cells,0.20996699,expected
inflammatory_macrophage_vs_other_macrophage,9,PTGS2,Myeloid cells,Epithelial cells,0.3680271,off_target
inflammatory_macrophage_vs_other_macrophage,10,CCL4L2,Myeloid cells,Myeloid cells,0.9202561,expected
inflammatory_macrophage_vs_other_macrophage,11,CD1C,Myeloid cells,Myeloid cells,0.12504673,expected
inflammatory_macrophage_vs_other_macrophage,12,GRASP,Myeloid cells,Endothelial cells,0.101294816,off_target
inflammatory_macrophage_vs_other_macrophage,13,RGS1,Myeloid cells,MAST cells,1.5129392,off_target
inflammatory_macrophage_vs_other_macrophage,14,CXCL8,Myeloid cells,Myeloid cells,1.6860651,expected
inflammatory_macrophage_vs_other_macrophage,15,PMAIP1,Myeloid cells,Epithelial cells,0.45700526,off_target
inflammatory_macrophage_vs_other_macrophage,16,IER3,Myeloid cells,Fibroblasts,1.0767578,off_target
inflammatory_macrophage_vs_other_macrophage,17,CLEC10A,Myeloid cells,Myeloid cells,0.26895505,expected
inflammatory_macrophage_vs_other_macrophage,18,ICAM1,Myeloid cells,Epithelial cells,0.65293235,off_target
inflammatory_macrophage_vs_other_macrophage,19,EREG,Myeloid cells,Myeloid cells,0.3888157,expected
inflammatory_macrophage_vs_other_macrophage,20,DUSP2,Myeloid cells,,0.5383423,off_target
inflammatory_macrophage_vs_other_macrophage,21,TNF,Myeloid cells,Myeloid cells,0.30795887,expected
inflammatory_macrophage_vs_other_macrophage,22,PPIF,Myeloid cells,Myeloid cells,0.38030204,expected
inflammatory_macrophage_vs_other_macrophage,23,CORO1A,Myeloid cells,T/NK cells,1.0939955,off_target
inflammatory_macrophage_vs_other_macrophage,24,PDE4B,Myeloid cells,Myeloid cells,0.24616596,expected
inflammatory_macrophage_vs_other_macrophage,25,CCL4,Myeloid cells,Myeloid cells,1.1056839,expected
inflammatory_macrophage_vs_other_macrophage,26,LGALS2,Myeloid cells,Myeloid cells,0.2676092,expected
inflammatory_macrophage_vs_other_macrophage,27,MIR155HG,Myeloid cells,Myeloid cells,0.13072799,expected
inflammatory_macrophage_vs_other_macrophage,28,PRDM1,Myeloid cells,Myeloid cells,0.15020135,expected
inflammatory_macrophage_vs_other_macrophage,29,VEGFA,Myeloid cells,Epithelial cells,0.59833443,off_target
inflammatory_macrophage_vs_other_macrophage,30,ARL5B,Myeloid cells,Epithelial cells,0.19523574,off_target
resident_macrophage_vs_other_macrophage,1,FCN1,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,2,VCAN,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,3,AZU1,Myeloid cells,Myeloid cells,0.02729267,expected
resident_macrophage_vs_other_macrophage,4,ELANE,Myeloid cells,Fibroblasts,0.038142174,off_target
resident_macrophage_vs_other_macrophage,5,GLT1D1,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,6,HGF,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,7,FAAH,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,8,PCAT18,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,9,CDA,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,10,AC020656.1,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,11,NLRP12,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,12,CECR2,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,13,AC027031.2,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,14,LINC02207,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,15,P2RY8,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,16,S100A8,Myeloid cells,Myeloid cells,1.2817672,expected
resident_macrophage_vs_other_macrophage,17,NFE2,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,18,C16orf74,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,19,ERLIN1,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,20,SLC24A4,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,21,PLPPR3,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,22,RAB3D,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,23,MT1H,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,24,MARC1,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,25,FOLR2,Myeloid cells,Myeloid cells,0.27094576,expected
resident_macrophage_vs_other_macrophage,26,KBTBD11,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,27,AL391807.1,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,28,CACNA2D3,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,29,NCAM1,Myeloid cells,,,missing
resident_macrophage_vs_other_macrophage,30,AL034397.3,Myeloid cells,,,missing
